id	name	social_media_link	headshot	talk_title	talk_description	biography	talk_id
isaac-io-schankler	Isaac Io Schankler	https://linktr.ee/piesaac	isaac-io-schankler.jfif	Orb Pondering Simulator LIVE!	Orb Pondering Simulator LIVE! is an audiovisual meditation opportunity and/or game about boredom played by a live online audience. Breathe in sync with a glowing, pulsating orb for increasingly extended periods of time! Interact with the synesthetic music system using chat commands! Gamify enlightenment!	Isaac Schankler (they/them) is a composer and audio designer whose work bridges the worlds of concert music and interactive media. They have written music for several acclaimed independent video games, including Ladykiller in a Bind, Analogue: A Hate Story, Redshirt, Depression Quest, and the upcoming polyrhythm game The One-Body Problem. Schankler’s recent album Because Patterns, released on Aerocade Music, has been lauded as "beautiful, algorithmic, organic, dystopian" (I Care If You Listen) and “remarkable listening… a new benchmark” (Sequenza21). Schankler is also the artistic director of concert series People Inside Electronics, and Associate Professor of Music at Cal Poly Pomona.	orb-pondering
james-cartlidge	James	https://philpeople.org/profiles/james-cartlidge	james-cartlidge.jpg			James is a post-doctoral researcher whose work operates at the intersection of philosophy and game studies. He specializes in phenomenology, existentialism, and post-structuralism, and applies these scholarly disciplines to the study of games and virtual worlds. His previous publications include articles about the existential and psychological themes of 'Dwarf Fortress' and 'Darkest Dungeon', and his most recent publication addresses immersion and cognition in 'immersive sim' games. He has previously held teaching positions at the Central European University (Vienna) and Eotvos Lorand University (Budapest), was previously a fellow at the Institute for Human Sciences (Vienna) and the San-Rafaelle University (Milan), and will soon take up a visiting fellowship at the Slovak Academy of Sciences (Bratislava).	
jeff-emtman	Jeff Emtman	https://x.com/neutrinowatch	jeff-emtman.jpg	Neutrinowatch - the podcast that plays itself 	Neutrinowatch is a podcast where every episode changes every day. Python code in the background overwrites the audio based on procedural generation and real world events and conditions to create a new version of each episode. Examples include:  - An astronomy show which uses the current positions of the stars visible from a different location - A song where the lyrics and instruments change  - An episode where two “robots” talk about real-world news headlines - A “Dear John” letter that gets rewritten every day - Monologues that fade in and out of focus  - Daily pieces of oblique advice for the creatively stuck  Every episode is alive, a new version appearing each day - which presents unique challenges and opportunities for making audio. In our talk, we’ll dive into a couple of episodes, sharing the techniques and lessons we’ve learned as we created the show - and the roles audio effects, ambience, music, and text-to-speech models have in the sound design. How can we make an episode that’s interesting to listen to once? Twice? Ten times? How often have we succeeded in making something replayable? Join us, and help us to answer these questions, and more…		neutrino-watch
joe-hewitt	Joe		placeholder.png			Creator of GearHead, Dungeon Monkey, and DeadCold. I am originally from Newfoundland but have been living in South Korea since last century. In addition to programming, I'm also a cartoonist.	
john-bond	John Bond	https://twitter.com/kaimatten	john-bond.jpg	Doors or no Doors: How Roguelike games take you places	In a fantasy setting, we accept dragons without explanation, even though they make no sense according to the laws of physics or biology. It is also so with dungeons, so pervasive in roguelike games as to be axiomatic. Massive, livable dungeons do not exist in real life, except they do in this one spot in Central Turkey called Cappadocia, which I just so happened to visit in May 2024. Is this talk a thinly-veiled attempt at sharing a travel slide show? Maybe, but I did take an incredible amount of photos, LIDAR video and assembled significant historical notes from a variety of sources.  There are many cave cities in Cappadocia, which could hold thousands of people each. This came to be here due to particular geological and social factors. The cave cities were known to be built and maintained over thousands of years, only falling into obscurity due to another weird geopolitical move called the 1923 Population Exchange between Greece and Turkey. The narrative I want to walk the audience through here is how all these random forces seemed to conspire to create these otherwise improbable underground cities.  I am going to share several interesting architectural features of these dungeons, all in the frame of how it could inspire gameplay, including: extruded steps, dovecuts, warning tubes, rolling doors, movable ladders.  Finding information about these cave cities is interesting as well: in the first wave of the internet, lots of mom and pop websites were made. However, these are mostly 404d now, incompletely replaced with Facebook groups. Finding maps of dungeons would require me to use the internet archive to get a pdf made by a German which I would then have to Google translate. This is made harder by the fact that Greece and Turkey consider each other cultural adversaries, and since the cave cities were made by the expelled Greeks, the Turkish government isn’t particularly excited about documenting them. Thus, finding information is a quest in itself.  Overall, I hope this talk is inspiring for viscerally immersive game design.	I am the director of Tea Witch Games located in Seattle and have worked in gamedev for 6+ years. I started as an artist, slowly making the shift to also doing programming and game design, until I eventually fell into the rabbit hole that is designing a proper and accessible roguelike.	doors
kaysa-konopljak	Kaysa Konopljak		kaysa-konoplljak.png	Going legit with DotA: How to transform a thousand authors into four	In 2015 Lilith games contests a complaint for copyright infringement sent to them by Valve. The dispute is over Defense of the Ancients (DotA) the multi million dollar E-sports and casual play intellectual property. This contesting escalates into a multi year lawsuit in which Lilith games challenges Valve and Blizzards claim to DotA, trying to claim it as a ’collective work’, pressuring these mega companies to frantically try and establish a ’'legitimate'' claim to their intellectual property. And in the process transforming the games formerly thousands of authors into four.   All this of course being in opposition to DotA’s nature – as a collective work.  Lets dive into how Valve successfully transformed the narrative of DotA’s development to the detriment of 99% of it’s authors and community and how we can prepare ourselves for ownership heists like these.  I suggest starting by looking to the practices of many a roguelike developer.	Kaysa Konopljak is a contemporary artist based out of Copenhagen. She works with fanfiction, collective authorship, against the monopolization of the internet, and does this with performance, lectures, workshops and writing. Also, she is the proud owner of a Wikipedia scarf, a poorly set up raspberry PI, and 400 hours in Caves of Qud.	going-legit
marlowe-dobbe	Marlowe Dobbe	https://bsky.app/profile/marlowedobbe.com	marlowe-dobbe.png	A Swarm of Monsters is Hard To Build: Generating Visual Concepts for Enemies in Roguelikes	Join Art Director Marlowe Dobbe for a deep dive into techniques she has used to generate visual concepts for enemies for roguelike games. Visual variety is an important consideration when working on games that are highly replayable, and these techniques can streamline the brainstorming process to help you to create a lot of unique and distinct enemy designs without letting the well run dry. Learn how to collect reference, generate ideas, and design an enemy alongside Marlowe during the presentation!	Marlowe Dobbe is an artist and Art Director for videogames. Previous works include Dicey Dungeons and Floppy Knights. She is currently working at Mega Crit as the Art Director for Slay the Spire 2.	swarm-of-monsters
martin-austwick	Martin		martin-austwick.webp	Neutrinowatch - the podcast that plays itself 	Neutrinowatch is a podcast where every episode changes every day. Python code in the background overwrites the audio based on procedural generation and real world events and conditions to create a new version of each episode. Examples include:  - An astronomy show which uses the current positions of the stars visible from a different location - A song where the lyrics and instruments change  - An episode where two “robots” talk about real-world news headlines - A “Dear John” letter that gets rewritten every day - Monologues that fade in and out of focus  - Daily pieces of oblique advice for the creatively stuck  Every episode is alive, a new version appearing each day - which presents unique challenges and opportunities for making audio. In our talk, we’ll dive into a couple of episodes, sharing the techniques and lessons we’ve learned as we created the show - and the roles audio effects, ambience, music, and text-to-speech models have in the sound design. How can we make an episode that’s interesting to listen to once? Twice? Ten times? How often have we succeeded in making something replayable? Join us, and help us to answer these questions, and more…	Martin Austwick and Jeff Emtman are independent audio artists, makers and producers. Jeff created the podcast Here Be Monsters, and has produced shows for national broadcasters and independent media companies.  Martin is a composer, performer and audio producer and co-created Tom Waits fan podcast Song by Song, as well being a founding member of Answer Me This! podcast. His music has featured on dozens of podcasts. They started working on Neutrinowatch in 2020 and launched the show in 2021.	neutrino-watch
max-bottega	Max Bottega	https://www.facebook.com/mncgames	max-bottega.jpg	Keeping Art Direction interesting in a procedurally generated world		Italian-born Max is a Graphics Swiss Army Knife, with over 20 years in Art Direction and Animation production in video games. He’s worked across 20+ titles including Assetto Corsa, and most recently Cyberpunk 2077 as Lead Artist. In 2019 he decided to formally study Game Design at Vancouver Film School. Now returned to Europe, he lives in Hungary as co-Founder of Mac n Cheese Games, his second studio. He’s also an avid miniature painter, which shows in the care he takes for his game art.	keeping-art
nat-alison	Nat	https://bsky.app/profile/tesseralis.site	nat-alison.jfif	Procedurality and the Primes	What makes mathematics interesting? What makes mathematicians obsessed over things like prime numbers or Fibonacci sequences? It turns out, a lot of times, that it is the same properties that make procedural generation fun: a balance of chaos and order, complex behaviors from simple rules, and unexpected emergent behavior.  Allow me to present a gallery of my favorite mathematical visualizations, from classic mainstays like Ulam spirals to my own work on colorful Fibonacci quilts, and analyze them to get to the heart what truly makes procedurality amazing.	I'm a game designer for UMA Games. In my spare time I try to turn numbers into art.	prime-numbers
nic-junius	Nic	https://mastodon.gamedev.place/@quakefultales	nic-junius.webp	Braided Narratives: Or How I Learned to Stop Worrying and Love Linear Stories	Creating dynamic, interactive narratives is hard, in no small part because of the massive amount of authoring effort they can require. I explore both where this authoring burden comes from and look at an approach to narrative design which avoids the exponential explosion of writing: braided narratives. Rather than every storyline or quest being its own fractal tree, we can wrap linear plots around each other to achieve dynamism through pacing instead of choice. Join me in this twisty adventure!	Nic just received their PhD in the Computational Media department studying AI, narrative design, and theater and is currently a narrative designer at CCP Games. Their work focuses on using theatrical practices to develop games and systems, exemplified in the visual novel Tracks in Snow. They have worked as a playwright and are currently developing a tabletop RPG with their partner.	bradied-narrative
ollie-withington	Ollie	x.com/o_withington	ollie-withington.jpg	The Right Variety: Understanding and Visualising the Output Diversity of Your Generators	Selecting and tuning generators for games is hard! There are typically many methods we could use to generate stuff for our Roguelikes, and many ways we can tweak the parameters of a chosen system. But when these systems can produce huge numbers of unique artefacts, working out what which one producing the best stuff for our game is very challenging. Luckily this has also been an important issue for academic researchers looking at PCG, and one there have been significant advances in over the past two decades. In this talk I'll be giving a practical overview of techniques that you can use to assess your generator, based on the work of myself and my peers from the world of PCG research. 	A games and AI researcher living in London, in my (hopefully!) final year of a PhD focused on the development of techniques for assessing the diversity present in procedurally generated output. In my spare time I am also a keen game developer and 3D artist. Getting to turn my love for games and proc gen into new research for the past few years has been a great experience, and I would love to share some of the most practically useful techniques and insights from my field at the Roguelike Celebration.	right-variety
pandamander	Pandamander	https://x.com/PandamanderG	pandamander.png	"Out of Book": The Psychology of Why Roguelikes Keep Us Playing	Why do humans love roguelikes? What's the difference between games that last for 5 hours or 500 hours, or even a lifetime? As a former Lead Game Systems Designer at Warner Bros, it was my job to create worlds that answered these questions. The secrets arise from patterns that come pre-installed in our brains that make us excited, build anticipation, and create joy from the pursuit of a goal.  In this talk, I'll dive into common behaviorist patterns in roguelikes and why people love them. We'll explore ancient games like Chess and Go, and modern titles like Oregon Trail, Slay the Spire, and Hades. I’ll discuss how dopamine truly works to create feelings of motivation and the psychological impact of randomness and procedural generation. We’ll also talk about the emotional impact of permadeath, how repeated failures lead to skill development and mastery, and what makes roguelikes infinitely replayable.	I've been a pro Game Designer for over 10 years at big studios like EA and Warner Bros. Games. Now I do indie development working on a cozy roguelike deckbuilder called World's Goodest Pup. 	out-of-book
philomena-schwab	Philomena Schwab	https://x.com/PhilomenaSchwab	philomena-schwab.jpg	100'000 wishlists in 3 months - Weird roguelikes are taking over the world	The roguelike genre continues to ride a massive wave of popularity. New games are added to a long list of releases on a daily basis, leaving the market fairly crowded. However, as the genre matures, more and more sub-genres are emerging. Inspired by the success of Peglin, our studio decided to take a swing at putting together a demo for a 'physics rougelike', combining classic mechanics of the genre with the arcady physics of a claw machine. We named the 'Dungeon Clawler' and it has managed to earn 100k+ wishlists in its first 3 months on Steam. This talk goes into detail on how the game was designed and marketed.	Philomena Schwab is a game designer, game marketing expert and community manager from Zurich, Switzerland. She wrote her master thesis about “Community Building for Indie Developers” and went on to co-found the indie game studio Stray Fawn in 2016. In 2017 Philomena has been named a 30 under 30 by Forbes. She currently serves in the selection committee of the WINGS game fund. As the co-founder of the Swiss Game Hub, she helps the local game industry grow.	big-wishes
robin-mendoza	Robin Mendoza		robin-mendoza.png	The Use of Knowledge in the Labyrinth: The price mechanism as a storytelling device	By featuring markets with prices that fluctuate in response to changing conditions, games can succinctly express information about the state of the game-world — the relative scarcity of resources, the concerns & appetites of NPCs, even the repercussions of the player's own actions — all without saying a word. In this talk, I will explore the use of prices for storytelling and look at some of the ways roguelikes and other games could (and do) make use of this device, as well as some reasons why scenario-sensitive prices may not be appropriate for certain games.	Robin Mendoza is a game designer and writer living in New York. He's written on narrative design, lo-fi culture, and experimental multiplayer games, co-hosted the 7-Day Broughlike game jam in tribute to previous Roguelike Celebration speaker Michael Brough, and is currently writing an interactive fiction about postural hypotension.  His favorite genres are coffee break roguelikes and manic shooters (i.e. games of extreme density), and topics of special interest for him include logistics, compression, (ir)reversibility, anisotropy, and symmetry breaking.	use-of-knowledge
stanley-baxton	Stanley W. Baxton	https://gamedev.lgbt/@stanwixbuster	stanley-baxton.jpg	Bringing Real-World Occultism into Your Games Without Accidentally Being Racist	Do you want to make your fantasy roguelike stand out from all the other fantasy roguelikes? Do you want to bring REAL magic into your game? Do you want to scare the living daylights out of someone with some demonic sigils?  Did you know there's a million and one pitfalls about that spooky symbol you found online?  In this talk, learn about the most common forms of cultural appropriation in Western Esoterica, how to evaluate if something is suitable to use for aesthetic reasons, listen to some guy rant about people who have been dead for nearly a hundred years, and learn how to better bring occult practices and symbology into games you make. Together, we can Bring Real-World Occultism into our Games Without Accidentally Being Racist.	Stanley is a solo dev who makes narrative games for exactly three people to lose their minds. His works are usually satirical, horrifying, or queer, and sometimes all at once. In his spare time he likes spending inordinate amounts of money on occult texts and getting mad about people who have been dead for hundreds of years.	real-world
tabea-iseli	Tabea Iseli	https://x.com/_StardustTweets	tabea-iseli.png	Animal Crossing meets Roguelite Dungeon Crawler: The surprising genre mixture behind Grimoire Groves	During the peak of the Covid pandemic, a small indie game studio from Switzerland set out to take their favorite genre - roguelite dungeon crawlers - and transfer it into a cozy, colorful and comforting world. After all, the real world out there is already scary enough, so at least our favorite video games should be a place we want to escape to, right? Over the past four years, this vision manifested itself in Grimoire Groves, a roguelite game about witches, friendship, mythical creatures and growing plants. The talk tackles the surprising similarities between farming/life sims and roguelite dungeon crawlers by explaining how Grimoire Groves mixes cute Animal Crossing-like villagers and friendship systems with dungeon crawler action mechanics.	Tabea Iseli is the founder and game director of Stardust, a Swiss indie game studio creating diverse games for a diverse audience. Originally from the print industry, Tabea worked in many game development areas such as art, coding, game design, marketing and even game studies, so they're a true jack of all trades. Tabea's work challenges the status-quo of video games and aims to expand the boundaries of the medium. In their free-time, Tabea is also the co-founder of the Queer Coding Camp and a board member of the Swiss Game Developers Association SGDA, so they never get tired of doing fun game related stuff.	ac-meet-rc
tyler-coleman	Tyler Coleman	https://www.linkedin.com/in/tylerthedesigner/	placeholder.png	Finding your 80/20 Rule with Proc-Gen	The 80-20 rule means different things to different people, so let's talk about all of them! (not really) What we are going to chat about is how the "80/20 rule" applies to production time, design familiarity, and player expectations in procedural generation.  Real takeaways in include: "how polished is polished enough" for generative systems, "how granular should this system be", and "how much does the player think is actually generating versus static", "what does the community share in its experience" and what games have excelled at these properties in gaming. 	Founder @ Retora Games, developer of Merchant, Space Merchant, and Merchant Guilds. Lecturer at University of Texas & University of California Founder @ Ludo Systems, <stealth project>	finding-your-80
yong-zhen-zhou	Yong Zhen Zhou		placeholder.png	Who Controls the Controller? Thinking about physical player interactions outside a digital game	Ever considered how the way you press a button can change your gaming experience? In this talk, I'll share my perspective as someone from an industrial design background overthinking the weird world of alternative controller (or alt.ctrl) games. Here the controller is as much a part of the game as what is in the screen. We’ll explore how controls like making funny faces, rocking on a chair, or shoveling golf balls, can extend the boundaries of a game experience and how the interaction changes the relationship between player and game. We'll also consider how these principles could apply to traditional games, challenging control conventions to offer a more varied and engaging experience	Zhen Zhou is a creative technologist who enjoys overthinking interactions with games. He likes to build weird controllers as well, some of which have been exhibited at Alt.Ctrl.GDC and Tokyo Game Show's Sense of Wonder Night.	control-the-controller
john-harris	John Harris		placeholder.png	A Trip Through The Mystery Dungeons	An overview of Chunsoft's long-lived Mystery Dungeon series, including Torneko, Shiren, Chocobo, Pokemon and others		mystery-dungeon
