id	date	type	start(PST)	start(CST)	title	description	speakers
keepsake	1	lightning	10:45	19:45	Roll for Reminiscence: Procedural Keepsake Games	The term keepsake game, coined by designer Shing Yin Khor, refers to games in which the gameplay process itself produces an artefact. In this presentation I will introduce keepsake games and reflect on the potential for procedural systems to be designed to produce keepsakes through prompting cumulative creative acts by a player. In particular, the interplay between digital and analogue PCG and keepsakes will be explored through a series of case studies; the digital keepsake game ArchaeOS that I co-developed, a series of hybrid keepsake games produced during a workshop I ran at the Dagstuhl computer science seminar, and an academic study I conducted on player recordings. This talk will provide examples of how and why keepsake games provide memorable gameplay experiences, and will be applicable to both players and designers interested in the overlaps between TTRPG and digital game design.	florence-smith-nicholls
	1	social	11:00	20:00	social time		
hoist-the-colors	1	full	11:30	20:30	Hoist the colours! Art direction and tech art in Sea Of Rifts, a naval story generation RPG	Art direction and production for procedural games is tricky. Artists need to understand the technical limitations and opportunities the medium offers, while programmers must create artist friendly workflows that also support the chosen aesthetic, and still have enough time to code the game itself. Last year Alex gave a talk on the procedural world, story, and character generation in Sea Of Rifts. We now want to open the lid on the treasure trove of experience we have gained on how to efficiently create art content for a generated 3D game in terms of direction, workflow, and technical solutions. In the talk we will first cover the overall art goals of the game. Sofie will then cover the specific techniques and design rules used to design the visuals, how we give feedback to each other, and why artists knowing the basics of the technical implementation, is a big win for the whole team. Alex will round off the talk with showing various artist friendly workflows and clever shader and GPU tricks we use to create a lot of visual variation in the game.	alex-birke, sofie-schmidt
code-to-craft	1	full	12:00	21:00	From Code to Craft: Procedural Generation for the Physical World	Join bleeptrack for a deep dive into the fascinating world of procedural generation beyond the screen. From stickers and paper lanterns to PCBs, furniture, and even physical procedural generators, this talk explores the challenges and creative possibilities of bringing generative projects into tangible form.	bleeptrack
non-euclidian	1	full	12:30	21:30	The best genre for a non-Euclidean game	The talk is about the use of non-Euclidean geometry in HyperRogue. I will explain what non-Euclidean geometry actually is with a short Rogue-themed explanation , and then explain how various parts of the roguelike philosophy synergize with the concept of a non-Euclidean game.	zeno-rogue
	1	social	13:00	22:00	social time		
oath-roguelike	1	full	13:30	22:30	Play as Procedural Generation: Oath as a Roguelike Strategy Game	Can you make a roguelike game without a dungeon? Can you make one without a hero? Is a computer even necessary? In this talk, Cole Wehrle talks about the creation of Oath how he adapted roguelike design conventions to the peculiar demands of a political strategy board game. 	cole-wehrle
long-term-consequences	1	full	14:00	23:00	Teaching Long Term Consequences in Games	Games excel at the short-term feedback loop. These are often intentionally designed into larger and larger structures to make video games both accessible and fun. Unfortunately, this is not a realistic expectation for how the actual world works, where the immediate reward loop may oppose the long term optimum. I have struggled with this concept since my earliest Seven Day Roguelikes. This talk will outline the lessons I have learned in the process, and hopefully game players think beyond the next dopamine hit, and encourage designers to challenge their players.	jeff-lait
	1	social	14:30	23:30	social time		
mythopoetic-qud	1	lightning	15:00	0:00	A Mythopoetic Interface Reading of *Caves of Qud*	*Caves of Qud* renders a world where artifacts of the distant past present elaborate legends from the events of historic characters’ lives. In the same way, the game’s interface elaborates on the player character’s abstracted interactions and experiences to present their own legend. This talk proposes a reading of *Qud*’s interface as mythopoetic—representing the player’s story as mythologized and metaphorical rather than directly literal. This interpretation of *Caves of Qud*’s narrative and themes offers the play experience as one more myth-made layer to dig through.	ray
slay-the-sql	1	lightning	15:15	0:15	Wait, No, Hear Me Out: Simulating Encounter AI in Slay the Spire with SQL	Bring your best warding potions, safety sigils, and blessings: this talk is a light dip of some cursed queries to show how to simulate Slay the Spire's encounter AI with nothing more than SQL (and a lot of free time). Along the way, we'll go over some basic data structures for simulation, declarative vs imperative programming and how (with a little probability) even simple systems can lead to memorable, complex AI.	jonathan-pagnutti
robot-karaoke	1	full	15:30	0:30	Robot Karaoke Goes Electric	Jamie Brew (The Onion, Clickhole, Botnik) presents new software from the utmost frontier of karaoke research: a procedural songwriting engine that swaps lyrics syllable-for-syllable with fragments of text from a catalog of esoteric datasets to create mashups that have never been sung before and will never be sung again. <br /><br />We might sing Yelp reviews to the tune of Total Eclipse of the Heart, Craigslist vehicle ads to the tune of the Super Mario Bros theme, or any arbitrary audience-requested mashup in this special online edition of the NYC-and-LA-based live show Robot Karaoke.	jamie-brew
	1	social	16:00	1:00	social time		
adaptive-stories	1	full	16:30	1:30	Planning and Replanning Structured Adaptive Stories: 25 Years of History	Emergent stories are great for games like Dwarf Fortress, but sometimes interactive stories have a required ending or structure they have to follow. In these situations, you need to plan your story in advance to anticipate the consequences of a player’s choice on what is possible. Most planned stories are designed by hand (think Choose Your Own Adventure books), but there has also been 25 years of research on story planning algorithms that can rewrite a structured story while a game is running. This talk will give a short history of the challenges of representing a story as a data structure suitable for algorithmic generation, including how we model events, intentions, beliefs, conflict, and emotion. This history will be told though a series of bad stories generated by earlier systems and how those mis-spun tales motivated next steps in the research.	stephen-ware
scrubbin-trubble	1	lightning	17:00	2:00	Scrubbin' Trubble: The Journey to Multiplayer Roguelikery	"In this lightning talk, Tyriq will lay out the foundational goals of Scrubbin' Trubble's multiplayer experience – the most ambitious experiment yet in his pursuit of that White Whale ""Semi-synchronous Co-operative Multiplayer Turn-Based Roguelike"" – and the technical and design challenges faced along the way to realizing those goals (there have been many)."	tyriq
roguelike-radio	1	lightning	17:15	2:25	Roguelike Radio 2011-present	The history of Roguelike Radio, a podcast about roguelikes which has been running since 2011.	andrew-doull
	1	social	17:30	2:30	social time		
	1	unconferencing	18:00	3:00	unconferencing		
	1	social	19:00	4:00	social space closes		
	2	social	9:00	18:00	social space opens		
	2	kickoff	9:15	18:15	kickoff		
scaling-ivory-tower	2	lightning	09:30	18:30	Scaling the Ivory Tower	Clarity is an important part of designing a game. After all, no one would play a game that doesn't explain the rules. Right?	kestrel
dyke-sex	2	lightning	09:45	18:45	Dyke sex and ennui: Generating unending narrative in 'Kiss Garden'	What if it just never damn ends? We typically design procedural generators with aspirations of unique, emergent outcomes, but perhaps there's a value to the sludge. I explore the development of my receipt printer artwork 'Kiss Garden', and how it generates an endless narrative of failing relationships while maintaining a forward momentum.	ada-null
maxwells-demons	2	full	10:00	19:00	We Are Maxwell's Demons: The Thermodynamics of Procedural Generators	Younès will compare the work a PCG designer does to the tiny Demon in Maxwell's thought experiment. They will show how it's possible to make a mathematical analogy between the behaviour of procedural generators on our computers and how gas behaves in the real world. That bridge opens up fascinating possibilities, like classifying generators as being liquid, solid and gaseous, likening the design process of a generator to a thermodynamic cycle or even comparing the new wave of GenAI systems to internal combustion engines.	younes-rabii
reality-tv	2	lightning	10:30	19:30	The Procedurality of Reality TV Design - An Overview.	Earlier speakers have already established that Reality TV is a roguelike, now to the question of how to make your roguelike more like Reality TV. A few simple techniques combine to infinitely interesting emergent situations depending on the players input. But for Reality TV designers, that’s only half of the job, you also have to take those situations and turn into meaningful tv entertainment. Prepare to be challenged to add social and narrative systems design to your projects.	dennis-greger
	2	social	10:45	19:45	social time		
	2	unconferencing	11:15	20:15	unconferencing		
	2	social	12:15	21:15	social time		
picking-pieces	2	full	13:15	22:15	Picking up the Pieces: building story in a roguelike world	Nebula-nominated games writer Paul Dean talks about linearity and non-linearity in both narrative and the writing process itself. He investigates where exactly a narrative begins and ends, as well as how this factors into his writing process and how it was applied in his work on Pacific Drive and other games.	paul-dean
wildermyth	2	full	13:45	22:45	Hand-Crafted Randomness: Storytelling in Wildermyth's Proc-Gen World	How do we make memorable characters and story moments when they're procedurally generated? How much hand-crafted content needs to be interwoven with procedural content to immerse the player in a story-driven world? (Spoiler: A lot!) Wildermyth is a party-based tactical storytelling RPG, and this talk will go over how we generate memorable characters and put those characters in situations that further characterize them.<br /><br /> We'll show the developer tools we created to help bring the story events and dialogue to life, specifically focusing on the ways hand-written dialogue works with the procedural heroes and events. We'll also go over how our combat maps similarly use a combination of hand-crafted and procedural content.	patrick-belanger, jackson-wagner
music-algorithm-showcase	2	full	14:15	23:15	Music algorithm showcase	I'm developing the game Rhythm Doggo. Though it's not a roguelike, its music is entirely algorithmic and composed in my own custom made music software. In this talk, I'd like to show off around 10 different algorithms, how they work and what they sound like, then end the talk with a little live performance of them all together.	nifflas
	2	social	02:45	23:45	social time		
tile-rewrite	2	lightning	15:15	0:15	Building a Roguelike with a Tile Rewrite Language	"In this talk I'll discuss developing a simple Roguelike in a new tile rewrite-based programming language. Tile rewrites are a way to express changes in state by replacing one arrangement of tiles with another. For example, the player tile ""P"" moving right onto a blank tile ""_"" could be represented by replacing the tiles ""P _"" with ""_ P"". <br /><br />Based on the tile rewriting concept, myself and a team of collaborators are developing a new visual game programming language, along with a with an editor and game engine with debugging tools. In this system, the game state is the 2D game board, changes are rewrites of tile patterns, and conditional checks are based on matching tile patterns. Players make choices by selecting from available rewrites. General logic flow is handled by a behavior-tree like language of nodes that succeed or fail based on the result of the nodes they call. <br /><br />Using this system, we are working on a Roguelike with dungeon generation, exploration, treasure, enemies, and combat. We hope that the visual, direct nature of rewrite rules in the editor and engine could make them a fun and approachable way to develop small tile- and turn-based games."	seth-cooper
morgue	2	lightning	15:30	0:30	Anatomy of a Morgue File	Each game in Dungeon Crawl Stone Soup ends with a morgue file: a detailed textual artifact of the game that you get to cherish forever. Let's dig through a morgue file, look at all the different pieces, and see if we can imagine how that player might have lived... and died!	quinten-konyn
dont-pick-just-one	2	lightning	15:45	0:45	Don’t Pick Just One: Set-Based Card Mechanics in Roguelike-Deckbuilders	Most deckbuilders (roguelike or otherwise) focus on the interesting choices around a adding single card at a time to your deck. But there's actually a underexplored design space in deckbuilding games that has the player adding (or removing) cards in groups or sets. The set-based approach has very different affordances, and might actually be a better fit for certain kinds of roguelike deckbuilders. This talk is a quick look at this mechanical space, showing some of the games that have used it, and taking a critical look from a design perspective.	alexander-king
playtesting-process	2	full	16:00	1:00	Playtesting Process for Ultra Small Teams	Making a roguelike with a tiny team (or just you)? You don’t need a giant QA department to get incredible feedback, just a smart, repeatable process. Over the past five years, I’ve refined a lightweight 1-on-1 playtesting approach that has powered every project I’ve worked on. I’ll show you how to find testers, run effective sessions, and turn raw reactions into actionable insights you can prioritize and act on. You’ll leave with a concrete, field-tested playbook you can implement right away. A strong playtesting process is not just a way to passively collect feedback, it is one of the key ingredients that separates good games from truly great ones.	brian-cronin
	2	social	16:30	1:30	social time		
sol-lewitt	2	lightning	17:00	2:00	Sol LeWitt, Combinatorial Enumeration, and Rogue	"Sol LeWitt wrote that ""the serial artist does not attempt to produce a beautiful or mysterious object but functions merely as a clerk cataloguing the results of his premise.” This premise could be a set of axioms, a geometric constraint – or a roguelike level generator! From this viewpoint, the enumeration of all outputs from a procedural content system is itself a type of artwork.<br /><br /> I’ll explore this connection between 20th century conceptual art and 21st century expressive range analysis. In particular, I’ll show how we can enumerate every possible Rogue level to identify ""impossible"" room layouts."	mark-gritter
luck-be-a-landlord	2	full	17:15	2:15	Luck be a Landlord - 10 Lessons Learned	I'll be discussing 10 lessons I learned during the development of Luck be a Landlord, the slot machine roguelike deckbuilder. My goal is to share the knowledge I've gained with aspiring game designers and developers.	dan-dilorio
lil-guys	2	full	17:45	2:45	The Form and Function of Weird Li'l Guys: Procedural Organism Generation in a Simulated Ecosystem	This talk includes a technical description of my processes for randomly generating organisms and facilitating their evolution over generations. I also discuss strategies for optimizing performance in a complex simulated ecosystem. Finally, I talk about various challenges, pitfalls, and surprises I've experienced while developing an evolution-based game. Expect to see adorable critters, unsettling beasts, and lots of things in between.	liza
	2	social	18:15	3:15	social time		
	2	social	09:00	4:00	space closes		
