id	name	social_media_link	headshot	talk_title	talk_description	biography	talk_id
jackson-wagner	Jackson Wagner		placeholder.png	Hand-Crafted Randomness: Storytelling in Wildermyth's Proc-Gen World	How do we make memorable characters and story moments when they're procedurally generated? How much hand-crafted content needs to be interwoven with procedural content to immerse the player in a story-driven world? (Spoiler: A lot!) Wildermyth is a party-based tactical storytelling RPG, and this talk will go over how we generate memorable characters and put those characters in situations that further characterize them. <br /><br />We'll show the developer tools we created to help bring the story events and dialogue to life, specifically focusing on the ways hand-written dialogue works with the procedural heroes and events. We'll also go over how our combat maps similarly use a combination of hand-crafted and procedural content.	Jackson Wagner has been in the industry for 8 years, and worked at Worldwalker Games as a QA analyst, systems-designer, level designer, and monster designer before moving on to become the team lead at FlatNine Games, serving a mixed role as lead programmer, and project manager.	wildermyth
jamie-brew	Jamie Brew	https://www.instagram.com/jamieabrew/ 	jame-brew.png	Robot Karaoke Goes Electric	Jamie Brew (The Onion, Clickhole, Botnik) presents new software from the utmost frontier of karaoke research: a procedural songwriting engine that swaps lyrics syllable-for-syllable with fragments of text from a catalog of esoteric datasets to create mashups that have never been sung before and will never be sung again. <br /><br />We might sing Yelp reviews to the tune of Total Eclipse of the Heart, Craigslist vehicle ads to the tune of the Super Mario Bros theme, or any arbitrary audience-requested mashup in this special online edition of the NYC-and-LA-based live show Robot Karaoke.	Jamie Brew is a writer and musician based in Brooklyn. He co-hosts Robot Karaoke, a live show where participants sing never-before-sung karaoke songs generated on the spot. He started the machine-assisted comedy group Botnik, was the first head writer of Clickhole and is a contributor at The Onion.	robot-karaoke
jeff-lait	Jeff Lait		placeholder.png	Teaching Long Term Consequences in Games	Games excel at the short-term feedback loop. These are often intentionally designed into larger and larger structures to make video games both accessible and fun. Unfortunately, this is not a realistic expectation for how the actual world works, where the immediate reward loop may oppose the long term optimum. I have struggled with this concept since my earliest Seven Day Roguelikes. This talk will outline the lessons I have learned in the process, and hopefully game players think beyond the next dopamine hit, and encourage designers to challenge their players.	Jeff Lait is the developer of the roguelike POWDER, designed for the Gameboy Advance and ported to many systems since then.  He has also written 21 roguelikes for the 7DRL challenges; including some featured at Indiecade: Fatherhood, Smart Kobold, and Seven Day Band.	long-term-consequences
jonathan-pagnutti	Johnathan Pagnutti	https://suspendedsunlight.dev	placeholder.png	Wait, No, Hear Me Out: Simulating Encounter AI in Slay the Spire with SQL	Bring your best warding potions, safety sigils, and blessings: this talk is a light dip of some cursed queries to show how to simulate Slay the Spire's encounter AI with nothing more than SQL (and a lot of free time). Along the way, we'll go over some basic data structures for simulation, declarative vs imperative programming and how (with a little probability) even simple systems can lead to memorable, complex AI.	Johnathan is a recovered academic, roguelike fan and dungeon potion bar barfly. He's generally doing some crime or another with JavaScript, Python, Context-Free Grammars and Probabilistic Soft Logics. Some of those crimes have been against code, some of those crimes have been against taste and flavor, and some of those crimes have been against fashion (unrelated). <br /><br />Come say hi in the con virtual space! He'd love to hear about whatever cool thing currently excites you, and will happily yap about generating Python source from bytecode, tabletop role playing games, and how to modify A* to handle time travel paradoxes.	slay-the-sql
jon-perry	Jon Perry		jon-perry.png	Fireside chat with Jon Perry (UFO 50)	Host Alexei Pepers and Jon Perry will chat about game design and his contributions to UFO 50 such as Planet Zoldath, Party House, and Mini & Max!	Jon Perry began his game design career making and releasing freeware games in the late 90s with Derek Yu under the label Blackeye Software. Together they made games like Quibble Race, Diabolika, and the full-length metroidvania Eternal Daughter. After a decade-long hiatus from games, Jon reemerged as a tabletop game designer, publishing titles like Air Land & Sea and Spots. In 2024, Jon Perry returned to video game design with the commercial release of UFO 50, a collection of 50 video games spanning a wide variety of genres.	ufo50
kestrel	Kestrel		placeholder.png	Scaling the Ivory Tower	Clarity is an important part of designing a game. After all, no one would play a game that doesn't explain the rules. Right?	Kestrel fell in love with roguelikes at an early age. She codes NetHack variants in her spare time, but when she's not wearing her developer hat she is a writer and a librarian.	scaling-ivory-tower
liza	Liza	https://bsky.app/profile/lize.bsky.social 	liza-knipscher.jpg	The Form and Function of Weird Li'l Guys: Procedural Organism Generation in a Simulated Ecosystem	This talk includes a technical description of my processes for randomly generating organisms and facilitating their evolution over generations. I also discuss strategies for optimizing performance in a complex simulated ecosystem. Finally, I talk about various challenges, pitfalls, and surprises I've experienced while developing an evolution-based game. Expect to see adorable critters, unsettling beasts, and lots of things in between.	Liza has an MS in Biomedical Visualization from UIC. She currently runs Meep Engine, a small studio that makes video games featuring strange creatures and unreasonable biology. Previously, she's worked developing neurosurgical educational applications at a hospital and as part of a Unity development team at a virtual reality hardware startup. In her free time, she provides emotional support for a pair of melodramatic greyhounds.	lil-guys
mark-gritter	Mark Gritter	https://mathstodon.xyz/@markgritter 	mark-gritter.png	Sol LeWitt, Combinatorial Enumeration, and Rogue	"Sol LeWitt wrote that ""the serial artist does not attempt to produce a beautiful or mysterious object but functions merely as a clerk cataloguing the results of his premise.� This premise could be a set of axioms, a geometric constraint – or a roguelike level generator! From this viewpoint, the enumeration of all outputs from a procedural content system is itself a type of artwork.<br /><br /> I'll explore this connection between 20th century conceptual art and 21st century expressive range analysis. In particular, I'll show how we can enumerate every possible Rogue level to identify ""impossible"" room layouts."	I'm a startup and math nerd who imprinted on NetHack at an early age. I identify as an Artificer; I'm interested in how to make tools more usable and systems more understandable. I currently work as Principal Engineer at Postman.	sol-lewitt
nifflas	Nifflas	https://bsky.app/profile/nifflas.bsky.social	nifflas.jpeg	Music algorithm showcase	I'm developing the game Rhythm Doggo. Though it's not a roguelike, its music is entirely algorithmic and composed in my own custom made music software. In this talk, I'd like to show off around 10 different algorithms, how they work and what they sound like, then end the talk with a little live performance of them all together.	I've been making indie games, usually 2D platformers, for 20 years with a focus on exploration and atmosphere. The last 10 years I've started to specialize in algorithmic adaptive music software, and created my own music software which is now integrated in all games I make.	music-algorithm-showcase
patrick-belanger	Patrick Belanger		patrick-belanger.jpg	Hand-Crafted Randomness: Storytelling in Wildermyth's Proc-Gen World	How do we make memorable characters and story moments when they're procedurally generated? How much hand-crafted content needs to be interwoven with procedural content to immerse the player in a story-driven world? (Spoiler: A lot!) Wildermyth is a party-based tactical storytelling RPG, and this talk will go over how we generate memorable characters and put those characters in situations that further characterize them.<br /><br /> We'll show the developer tools we created to help bring the story events and dialogue to life, specifically focusing on the ways hand-written dialogue works with the procedural heroes and events. We'll also go over how our combat maps similarly use a combination of hand-crafted and procedural content.	Programmer and designer on the game Wildermyth, currently working as a Gameplay Engineer / Designer on a game called Begone Beast (another roguelite!) I've also developed a couple things in VR, made several interactive art/particle experiences, and dabble in music creation occasionally.	wildermyth
paul-dean	Paul Dean	https://bsky.app/profile/paullicino.bsky.social 	placeholder.png	Picking up the Pieces: building story in a roguelike world	Nebula-nominated games writer Paul Dean talks about linearity and non-linearity in both narrative and the writing process itself. He investigates where exactly a narrative begins and ends, as well as how this factors into his writing process and how it was applied in his work on Pacific Drive and other games.	Paul Dean is a Nebula-nominated writer and ENNIE-nominated game designer with about two decades of experience in games, which has included everything from an enormous amount of journalism and critical commentary, to designing tabletop RPGs, to critically-acclaimed writing and narrative design. His last position was as a writer on the indie hit Pacific Drive and he's deeply involved in his next couple of projects.	picking-pieces
quinten-konyn	Quinten Konyn	https://bsky.app/profile/quintenk.bsky.social 	quenten-konyn.jpg	Anatomy of a Morgue File	Each game in Dungeon Crawl Stone Soup ends with a morgue file: a detailed textual artifact of the game that you get to cherish forever. Let's dig through a morgue file, look at all the different pieces, and see if we can imagine how that player might have lived... and died!	Quinten Konyn is a tinkerer in the Pacific Northwest who likes traditional Roguelikes, programming, and fiber arts.	morgue
sebastien-bernard	Sébastien "deepnight" Benard	https://bsky.app/profile/deepnight.net 	sebastien-bernard.jpg	Mixing hand-crafted content with procgen to achieve quality	As I was working on Dead Cells back in 2018 at Motion Twin, we constantly tried to strike a balance between randomly generated content and handcrafted design to suit our very small team of 5 people back then. Now I'm doing the same thing for Tenjutsu, my new upcoming rogue, but this time I'm making a full open city all by myself. I will explain how I approached that and why!	I'm a one-man independent game studio, Deepnight Games founded in 2020. Before that, I was Dead Cells lead dev and game-designer and a former Motion Twin associate for ~18yrs. I've been making games since I was a kid, back in the Atari ST days, and Deepnight Games is a new opportunity for me to create ambitious 2D titles while keeping the signature quality of my previous games: unique game mechanics combined with highly polished game-feel. I've always been a big fan of game jams, and that probably explains why I like procedural stuff that much: it's a mean for me to create big or complex stuff while being a solo dev :)	hand-crafted-mix
seth-cooper	Seth Cooper	http://sethcooper.net/ 	seth-cooper.jpg	Building a Roguelike with a Tile Rewrite Language	"In this talk I'll discuss developing a simple Roguelike in a new tile rewrite-based programming language. Tile rewrites are a way to express changes in state by replacing one arrangement of tiles with another. For example, the player tile ""P"" moving right onto a blank tile ""_"" could be represented by replacing the tiles ""P _"" with ""_ P"". <br /><br />Based on the tile rewriting concept, myself and a team of collaborators are developing a new visual game programming language, along with a with an editor and game engine with debugging tools. In this system, the game state is the 2D game board, changes are rewrites of tile patterns, and conditional checks are based on matching tile patterns. Players make choices by selecting from available rewrites. General logic flow is handled by a behavior-tree like language of nodes that succeed or fail based on the result of the nodes they call. <br /><br />Using this system, we are working on a Roguelike with dungeon generation, exploration, treasure, enemies, and combat. We hope that the visual, direct nature of rewrite rules in the editor and engine could make them a fun and approachable way to develop small tile- and turn-based games."	I am an Associate Professor in the Khoury College of Computer Sciences at Northeastern University, and I earned my PhD in Computer Science and Engineering at the University of Washington.  My work focuses on video games, procedural content generation, citizen science, and crowdsourcing.  I am co-creator of Foldit, a video game that has allowed players to contribute to scientific research in biochemistry. I have previously worked at Square Enix, Electronic Arts, and Pixar Animation Studios, and as the Creative Director of the Center for Game Science.	tile-rewrite
stephen-ware	Stephen G. Ware	https://bsky.app/profile/sgware.bsky.social 	stephen-ware.png	Planning and Replanning Structured Adaptive Stories: 25 Years of History	Emergent stories are great for games like Dwarf Fortress, but sometimes interactive stories have a required ending or structure they have to follow. In these situations, you need to plan your story in advance to anticipate the consequences of a player's choice on what is possible. Most planned stories are designed by hand (think Choose Your Own Adventure books), but there has also been 25 years of research on story planning algorithms that can rewrite a structured story while a game is running. This talk will give a short history of the challenges of representing a story as a data structure suitable for algorithmic generation, including how we model events, intentions, beliefs, conflict, and emotion. This history will be told though a series of bad stories generated by earlier systems and how those mis-spun tales motivated next steps in the research.	Stephen G. Ware is an Associate Professor of Computer Science and runs the Narrative Intelligence Lab at the University of Kentucky where he teaches courses on game development and AI. His research uses old-school symbolic AI for planned interactive stories in games and virtual reality simulations that have a required ending or structure but also need to adapt to the player's choices. He's done over $3 million USD in sponsored research on this sort of work and published over 50 of papers on it.	adaptive-stories
tyriq	Tyriq Plummer	https://bsky.app/profile/fourbitfriday.bsky.social	tyriq-plummer.jpg	Scrubbin' Trubble: The Journey to Multiplayer Roguelikery	"In this lightning talk, Tyriq will lay out the foundational goals of Scrubbin' Trubble's multiplayer experience – the most ambitious experiment yet in his pursuit of that White Whale ""Semi-synchronous Co-operative Multiplayer Turn-Based Roguelike"" – and the technical and design challenges faced along the way to realizing those goals (there have been many)."	Tyriq is a pixel artist and game developer who has worked on Cadence of Hyrule, UFO 50, and the roguelike platformer Catacomb Kids. He recently co-founded Odd Object with his long-time friend and collaborator Stevie Hryciw, and the two are now working on the studio's first title, Scrubbin' Trubble. Someday he will have a pet goat.	scrubbin-trubble
younes-rabii	Younès Rabii	https://bsky.app/profile/pyrofoux.bsky.social 	younes-rabii.jpg	We Are Maxwell's Demons: The Thermodynamics of Procedural Generators	Younès will compare the work a PCG designer does to the tiny Demon in Maxwell's thought experiment. They will show how it's possible to make a mathematical analogy between the behaviour of procedural generators on our computers and how gas behaves in the real world. That bridge opens up fascinating possibilities, like classifying generators as being liquid, solid and gaseous, likening the design process of a generator to a thermodynamic cycle or even comparing the new wave of GenAI systems to internal combustion engines.	Younès is a French Arab game researcher, designer and performer. This year, they're coming back to the Roguelike Celebration to share the two things they found while exploring the crossroads between academia, performance spaces and the games industry: deep insights about PCG and, you guessed it — a whole lot of precarity.	maxwells-demons
zeno-rogue	Zeno Rogue	https://bsky.app/profile/zenorogue.bsky.social/ 	zeno-rogue.jpg	The best genre for a non-Euclidean game	The talk is about the use of non-Euclidean geometry in HyperRogue. I will explain what non-Euclidean geometry actually is with a short Rogue-themed explanation , and then explain how various parts of the roguelike philosophy synergize with the concept of a non-Euclidean game.	I am playing roguelikes since the 90s. My favorite roguelike-like games are DCSS, Caves of Qud, ADOM, Unexplored, Noita, and Terraria. I create games based on math concepts. I am the author of HyperRogue, Hydra Slayer, Vapors of Insanity, and a member of the ADOM devteam.	non-euclidian
cole-wehrle	Cole Wehrle	https://bsky.app/profile/colewehrle.bsky.social 	cole-wehrle.jpg	Play as Procedural Generation: Oath as a Roguelike Strategy Game	Can you make a roguelike game without a dungeon? Can you make one without a hero? Is a computer even necessary? In this talk, Cole Wehrle talks about the creation of Oath how he adapted roguelike design conventions to the peculiar demands of a political strategy board game. 	Cole is an ex-academic and tabletop game designer currently serving as the creative director at Leder games in Saint Paul, Minnesota. He is perhaps best known for his game Root, which used cute animals to trick hundreds of thousands of players into learning about geopolitics and counter-insurgency. In addition, he co-founded Wehrlegig Games with his brother Drew, which produces historical games on topics ranging from nation building in nineteenth century Afghanistan (Pax Pamir) to the underground queer communities of early eighteenth century London (Molly House). Despite their somewhat offbeat topics, his games have been translated into over a dozen languages and are played all of the world.	oath-roguelike
michael-brough	Michael Brough	https://bsky.app/profile/smestorp.bsky.social 	michael-brough.png	The Roots of Roguelikes in Fantasy Fiction	Let's take a journey into the past, before Rogue itself, back even before Dungeons and Dragons, into the tales of mystery and wonder that inspired these adventures. We'll delve into fragments of text from ancient scrolls and discuss how specific game mechanics derived from these sources.	Michael has been a roguelike developer for a long time now. He's best known for roguelikes on small grids. He advocates for people to actually play the game Rogue.	roots
ray	Ray	https://bsky.app/profile/fractrans.bsky.social 	ray.png	A Mythopoetic Interface Reading of Caves of Qud	Caves of Qud renders a world where artifacts of the distant past present elaborate legends from the events of historic characters' lives. In the same way, the game's interface elaborates on the player character's abstracted interactions and experiences to present their own legend. This talk proposes a reading of Qud's interface as mythopoetic—representing the player's story as mythologized and metaphorical rather than directly literal. This interpretation of Caves of Qud's narrative and themes offers the play experience as one more myth-made layer to dig through.	Ray is a software developer. When not dreaming about Caves of Qud, they might be found playing it instead.	mythopoetic-qud
dennis-greger	Dennis Greger	https://bsky.app/profile/ 	dennis-greger.jpeg	The Procedurality of Reality TV Design - An Overview.	Earlier speakers have already established that Reality TV is a roguelike, now to the question of how to make your roguelike more like Reality TV. A few simple techniques combine to infinitely interesting emergent situations depending on the players input. But for Reality TV designers, that's only half of the job, you also have to take those situations and turn into meaningful tv entertainment. Prepare to be challenged to add social and narrative systems design to your projects.	Dennis Greger (they/them) is a Game Designer and Producer who specializes in titles relying heavily on procedural systems, especially procedural narrative, and Live Service Events. Before moving into game dev in 2019, they've worked for eleven years with Reality TV design and IP development, thereby becoming an expert in social mechanics. Is usually game mastering soapy melodramas or singing their little heart out.	reality-tv
max-sahin	Max Sahin	https://bsky.app/profile/maxsahin.bsky.social	max-sahin.jpeg	Stuff: the behavioral science of inventory	The instinct to collect, arrange, display, and share is a core piece of what makes us human. Why do we do it? What makes an inventory stressful and annoying vs. a pleasurable exercise in agency and self-expression? And how does the threat of losing all that, of death, in a videogame (and outside it) shape those actions?  <br /> <br />Folks will learn: < br />- how different schools of scholarly thought think about the human relationship with objects <br />- -how screens change that (because how we perceive things on screens is fundamentally different from how we perceive meatspace data) <br />- Where the levers are to influence a player's emotional relationship with in-game objects	I'm behavioral scientist with expertise in how humans interact with technology, engage with complex information, construct selfhood, and make meaning. I worked in the tech industry with some flavor of 'product and service design' title for a decade before accepting my true nerdiness. I've worked with tiny startups and giant companies trying to build tech people  love. Now, as principal of Imago Consulting, I help folks build technology that reflects the best of us instead of the worst. 	stuff
florence-smith-nicholls Florence Smith Nicholls	https://bsky.app/profile/florencesn.bsky.social	placeholder.png	Roll for Reminiscence: Procedural Keepsake Games	The term keepsake game, coined by designer Shing Yin Khor, refers to games in which the gameplay process itself produces an artefact. In this presentation I will introduce keepsake games and reflect on the potential for procedural systems to be designed to produce keepsakes through prompting cumulative creative acts by a player. In particular, the interplay between digital and analogue PCG and keepsakes will be explored through a series of case studies; the digital keepsake game ArchaeOS that I co-developed, a series of hybrid keepsake games produced during a workshop I ran at the Dagstuhl computer science seminar, and an academic study I conducted on player recordings. This talk will provide examples of how and why keepsake games provide memorable gameplay experiences, and will be applicable to both players and designers interested in the overlaps between TTRPG and digital game design.	I am a researcher and game designer who specialises in the contemporary archaeology of video games. I design larps, TTRPGs and digital games with a particular focus on playful approaches to recording gameplay experiences.	keepsake
